,Close,Daily Return,Cumulative Return
count,250.0,249.0,249.0
mean,170.35141586303712,0.0018349268415005044,0.3854322148147051
std,17.324152163125415,0.012570048621211888,0.1388888477224271
min,123.04681396484375,-0.048019890208275684,-0.00039976591691237573
25%,159.79749298095703,-0.0058913982732233805,0.300135077494466
50%,173.44232940673828,0.0018785562976850745,0.4091205633265744
75%,185.25334930419922,0.008845967153082723,0.506760878374346
max,196.07308959960938,0.04692702763216694,0.5928466568599
